"Table 079-0003 New motor vehicle sales, Canada, provinces and territories, monthly(1)"
Survey or program details:
New Motor Vehicle Sales Survey (Monthly) - 2402
Geography,Canada
Vehicle type,"Total, new motor vehicles"
Origin of manufacture,"Total, country of manufacture"
Sales,Units
Seasonal adjustment,Unadjusted
Jan-1999,86790
Feb-1999,90913
Mar-1999,144526
Apr-1999,142870
May-1999,153101
Jun-1999,156553
Jul-1999,130047
Aug-1999,125410
Sep-1999,136298
Oct-1999,120347
Nov-1999,122625
Dec-1999,132561
Jan-2000,94001
Feb-2000,98810
Mar-2000,155496
Apr-2000,147619
May-2000,167225
Jun-2000,160649
Jul-2000,128960
Aug-2000,141733
Sep-2000,146361
Oct-2000,112936
Nov-2000,117609
Dec-2000,116162
Jan-2001,96791
Feb-2001,89159
Mar-2001,143189
Apr-2001,150179
May-2001,169058
Jun-2001,161079
Jul-2001,130499
Aug-2001,139030
Sep-2001,127045
Oct-2001,124217
Nov-2001,131917
Dec-2001,135801
Jan-2002,112105
Feb-2002,103981
Mar-2002,150286
Apr-2002,167558
May-2002,186313
Jun-2002,168305
Jul-2002,141101
Aug-2002,150865
Sep-2002,144297
Oct-2002,137951
Nov-2002,127244
Dec-2002,143312
Jan-2003,95477
Feb-2003,105391
Mar-2003,148922
Apr-2003,152967
May-2003,185419
Jun-2003,149816
Jul-2003,148957
Aug-2003,145108
Sep-2003,141988
Oct-2003,124427
Nov-2003,115126
Dec-2003,112870
Jan-2004,85238
Feb-2004,94777
Mar-2004,149605
Apr-2004,160195
May-2004,166136
Jun-2004,154134
Jul-2004,136563
Aug-2004,136187
Sep-2004,130699
Oct-2004,123552
Nov-2004,120287
Dec-2004,117822
Jan-2005,82019
Feb-2005,106064
Mar-2005,148296
Apr-2005,167441
May-2005,161865
Jun-2005,166024
Jul-2005,158796
Aug-2005,146862
Sep-2005,128431
Oct-2005,118993
Nov-2005,124111
Dec-2005,121408
Jan-2006,89422
Feb-2006,100740
Mar-2006,155990
Apr-2006,159436
May-2006,173291
Jun-2006,162029
Jul-2006,145521
Aug-2006,157868
Sep-2006,140065
Oct-2006,123076
Nov-2006,127732
Dec-2006,131157
Jan-2007,94413
Feb-2007,99877
Mar-2007,154450
Apr-2007,172428
May-2007,189076
Jun-2007,172487
Jul-2007,145370
Aug-2007,160883
Sep-2007,134516
Oct-2007,124072
Nov-2007,120012
Dec-2007,122954
Jan-2008,105546
Feb-2008,113877
Mar-2008,153505
Apr-2008,179289
May-2008,188137
Jun-2008,163064
Jul-2008,152704
Aug-2008,149607
Sep-2008,137479
Oct-2008,126064
Nov-2008,107709
Dec-2008,97164
Jan-2009,78817
Feb-2009,82039
Mar-2009,129831
Apr-2009,146026
May-2009,156025
Jun-2009,140442
Jul-2009,141621
Aug-2009,136971
Sep-2009,131275
Oct-2009,123607
Nov-2009,104589
Dec-2009,113613
Jan-2010,83512
Feb-2010,101788
Mar-2010,148052
Apr-2010,152187
May-2010,157082
Jun-2010,156891
Jul-2010,150800
Aug-2010,138210
Sep-2010,137349
Oct-2010,125731
Nov-2010,118521
Dec-2010,114376
Jan-2011,86320
Feb-2011,98147
Mar-2011,156452
Apr-2011,162613
May-2011,152064
Jun-2011,168119
Jul-2011,144171
Aug-2011,143653
Sep-2011,137660
Oct-2011,129049
Nov-2011,124466
Dec-2011,117863
Jan-2012,100448
Feb-2012,109817
Mar-2012,161688
Apr-2012,161372
May-2012,180368
Jun-2012,173190
Jul-2012,151451
Aug-2012,152577
Sep-2012,146270
Oct-2012,138892
Nov-2012,128849
Dec-2012,111881
Jan-2013,97872
Feb-2013,105811
Mar-2013,159953
Apr-2013,175181
May-2013,189030
Jun-2013,174439
Jul-2013,161835
Aug-2013,161371
Sep-2013,151644
Oct-2013,148181
Nov-2013,135776
Dec-2013,115368
Jan-2014,97624
Feb-2014,107501
Mar-2014,160655
Apr-2014,182239
May-2014,199568
Jun-2014,179556
Jul-2014,180682
Aug-2014,174757
Sep-2014,172069
Oct-2014,159144
Nov-2014,141763
Dec-2014,134829
Footnotes:
1,"Prior to 1953, data for Canadian and United States manufactured vehicles and overseas manufactured vehicles are not segregated."
5,Seasonally adjusted data for the New Motor Vehicle Sales survey are available for the period between January 1991 to February 2012.
Source:
"Statistics Canada. Table 079-0003 - New motor vehicle sales, Canada, provinces and territories, monthly"
"(accessed: November 30, 2015)"
